Samplename,Population
HG00096,A_POP
HG00097,A_POP
HG00099,A_POP
HG00100,A_POP
HG00101,A_POP
HG00102,A_POP
HG00103,A_POP
HG00105,A_POP
HG00106,A_POP
HG00107,A_POP
HG00108,A_POP
HG00109,A_POP
HG00110,A_POP
HG00111,A_POP
HG00112,A_POP
HG00113,A_POP
HG00114,A_POP
HG00115,A_POP
HG00116,A_POP
HG00117,A_POP
HG00118,A_POP
HG00119,A_POP
HG00120,A_POP
HG00121,A_POP
HG00122,A_POP
HG00123,A_POP
HG00125,A_POP
HG00126,A_POP
HG00127,A_POP
HG00128,A_POP
HG00129,A_POP
HG00130,A_POP
HG00131,A_POP
HG00132,A_POP
HG00133,A_POP
HG00136,A_POP
HG00137,A_POP
HG00138,A_POP
HG00139,A_POP
HG00140,A_POP
HG00141,A_POP
HG00142,A_POP
HG00143,A_POP
HG00145,A_POP
HG00146,A_POP
HG00148,A_POP
HG00149,A_POP
HG00150,A_POP
HG00151,A_POP
HG00154,A_POP
HG00155,A_POP
HG00157,A_POP
HG00158,A_POP
HG00159,A_POP
HG00160,A_POP
HG00231,A_POP
HG00232,A_POP
HG00233,A_POP
HG00234,A_POP
HG00235,A_POP
HG00236,A_POP
HG00237,A_POP
HG00238,A_POP
HG00239,A_POP
HG00240,A_POP
HG00242,A_POP
HG00243,A_POP
HG00244,A_POP
HG00245,A_POP
HG00246,A_POP
HG00250,A_POP
HG00251,A_POP
HG00252,A_POP
HG00253,A_POP
HG00254,A_POP
HG00255,A_POP
HG00256,A_POP
HG00257,A_POP
HG00258,A_POP
HG00259,A_POP
HG00260,A_POP
HG00261,A_POP
HG00262,A_POP
HG00263,A_POP
HG00264,A_POP
HG00265,A_POP
HG00551,A_POP
HG00553,A_POP
HG00554,A_POP
HG00637,A_POP
HG00638,A_POP
HG00640,A_POP
HG00641,A_POP
HG00731,A_POP
HG00732,A_POP
HG00734,A_POP
HG00736,A_POP
HG00737,A_POP
HG00739,A_POP
HG00740,A_POP
HG00742,A_POP
HG00743,A_POP
HG01047,A_POP
HG01048,A_POP
HG01049,A_POP
HG01051,A_POP
HG01052,A_POP
HG01054,A_POP
HG01055,A_POP
HG01058,A_POP
HG01060,A_POP
HG01061,A_POP
HG01063,A_POP
HG01064,A_POP
HG01066,A_POP
HG01067,A_POP
HG01069,A_POP
HG01070,A_POP
HG01072,A_POP
HG01073,A_POP
HG01075,A_POP
HG01077,A_POP
HG01079,A_POP
HG01080,A_POP
HG01082,A_POP
HG01083,A_POP
HG01085,A_POP
HG01086,A_POP
HG01088,A_POP
HG01089,A_POP
HG01092,A_POP
HG01094,A_POP
HG01095,A_POP
HG01097,A_POP
HG01098,A_POP
HG01101,A_POP
HG01102,A_POP
HG01104,A_POP
