Gene stable ID,Gene name,Gene type
ENSG00000186092,OR4F5,protein_coding
ENSG00000284733,OR4F29,protein_coding
ENSG00000284662,OR4F16,protein_coding
ENSG00000187634,SAMD11,protein_coding
ENSG00000188976,NOC2L,protein_coding
ENSG00000187961,KLHL17,protein_coding
ENSG00000187583,PLEKHN1,protein_coding
ENSG00000187642,PERM1,protein_coding
ENSG00000188290,HES4,protein_coding
ENSG00000187608,ISG15,protein_coding
ENSG00000188157,AGRN,protein_coding
ENSG00000237330,RNF223,protein_coding
ENSG00000131591,C1orf159,protein_coding
ENSG00000162571,TTLL10,protein_coding
ENSG00000186891,TNFRSF18,protein_coding
ENSG00000186827,TNFRSF4,protein_coding
ENSG00000078808,SDF4,protein_coding
ENSG00000176022,B3GALT6,protein_coding
ENSG00000184163,C1QTNF12,protein_coding
ENSG00000160087,UBE2J2,protein_coding
ENSG00000162572,SCNN1D,protein_coding
ENSG00000131584,ACAP3,protein_coding
ENSG00000169972,PUSL1,protein_coding
ENSG00000127054,INTS11,protein_coding
ENSG00000224051,CPTP,protein_coding
ENSG00000169962,TAS1R3,protein_coding
ENSG00000107404,DVL1,protein_coding
ENSG00000162576,MXRA8,protein_coding
ENSG00000175756,AURKAIP1,protein_coding
ENSG00000221978,CCNL2,protein_coding
ENSG00000242485,MRPL20,protein_coding
ENSG00000235098,ANKRD65,protein_coding
ENSG00000205116,TMEM88B,protein_coding
ENSG00000179403,VWA1,protein_coding
ENSG00000215915,ATAD3C,protein_coding
ENSG00000160072,ATAD3B,protein_coding
ENSG00000197785,ATAD3A,protein_coding
ENSG00000205090,TMEM240,protein_coding
ENSG00000160075,SSU72,protein_coding
ENSG00000228594,FNDC10,protein_coding
ENSG00000197530,MIB2,protein_coding
ENSG00000189409,MMP23B,protein_coding
ENSG00000248333,CDK11B,protein_coding
ENSG00000189339,SLC35E2B,protein_coding
ENSG00000008128,CDK11A,protein_coding
ENSG00000008130,NADK,protein_coding
ENSG00000078369,GNB1,protein_coding
ENSG00000169885,CALML6,protein_coding
ENSG00000178821,TMEM52,protein_coding
ENSG00000142609,CFAP74,protein_coding
ENSG00000187730,GABRD,protein_coding
ENSG00000067606,PRKCZ,protein_coding
ENSG00000162585,FAAP20,protein_coding
ENSG00000157933,SKI,protein_coding
ENSG00000116151,MORN1,protein_coding
ENSG00000157916,RER1,protein_coding
ENSG00000157911,PEX10,protein_coding
ENSG00000149527,PLCH2,protein_coding
ENSG00000157881,PANK4,protein_coding
ENSG00000197921,HES5,protein_coding
ENSG00000157873,TNFRSF14,protein_coding
ENSG00000157870,PRXL2B,protein_coding
ENSG00000142606,MMEL1,protein_coding
ENSG00000215912,TTC34,protein_coding
ENSG00000169717,ACTRT2,protein_coding
ENSG00000142611,PRDM16,protein_coding
ENSG00000130762,ARHGEF16,protein_coding
ENSG00000162591,MEGF6,protein_coding
ENSG00000158109,TPRG1L,protein_coding
ENSG00000116213,WRAP73,protein_coding
ENSG00000078900,TP73,protein_coding
ENSG00000162592,CCDC27,protein_coding
ENSG00000235169,SMIM1,protein_coding
ENSG00000130764,LRRC47,protein_coding
ENSG00000116198,CEP104,protein_coding
ENSG00000169598,DFFB,protein_coding
ENSG00000198912,C1orf174,protein_coding
ENSG00000196581,AJAP1,protein_coding
ENSG00000131697,NPHP4,protein_coding
ENSG00000069424,KCNAB2,protein_coding
ENSG00000116254,CHD5,protein_coding
ENSG00000285629,NA,protein_coding
ENSG00000116251,RPL22,protein_coding
ENSG00000158286,RNF207,protein_coding
ENSG00000116237,ICMT,protein_coding
ENSG00000173673,HES3,protein_coding
ENSG00000158292,GPR153,protein_coding
ENSG00000097021,ACOT7,protein_coding
ENSG00000069812,HES2,protein_coding
ENSG00000187017,ESPN,protein_coding
ENSG00000215788,TNFRSF25,protein_coding
ENSG00000171680,PLEKHG5,protein_coding
ENSG00000162408,NOL9,protein_coding
ENSG00000173662,TAS1R1,protein_coding
ENSG00000204859,ZBTB48,protein_coding
ENSG00000162413,KLHL21,protein_coding
ENSG00000116273,PHF13,protein_coding
ENSG00000041988,THAP3,protein_coding
ENSG00000007923,DNAJC11,protein_coding
ENSG00000171735,CAMTA1,protein_coding
ENSG00000049245,VAMP3,protein_coding
ENSG00000049246,PER3,protein_coding
ENSG00000049247,UTS2,protein_coding
ENSG00000049249,TNFRSF9,protein_coding
ENSG00000116288,PARK7,protein_coding
ENSG00000116285,ERRFI1,protein_coding
ENSG00000162426,SLC45A1,protein_coding
ENSG00000142599,RERE,protein_coding
ENSG00000074800,ENO1,protein_coding
ENSG00000131686,CA6,protein_coding
ENSG00000197241,SLC2A7,protein_coding
ENSG00000142583,SLC2A5,protein_coding
ENSG00000180758,GPR157,protein_coding
ENSG00000049239,H6PD,protein_coding
ENSG00000171621,SPSB1,protein_coding
ENSG00000171612,SLC25A33,protein_coding
ENSG00000188807,TMEM201,protein_coding
ENSG00000171608,PIK3CD,protein_coding
ENSG00000171603,CLSTN1,protein_coding
ENSG00000178585,CTNNBIP1,protein_coding
ENSG00000162441,LZIC,protein_coding
ENSG00000173614,NMNAT1,protein_coding
ENSG00000162444,RBP7,protein_coding
ENSG00000130939,UBE4B,protein_coding
ENSG00000054523,KIF1B,protein_coding
ENSG00000142657,PGD,protein_coding
ENSG00000251503,CENPS-CORT,protein_coding
